Sample,Period,Year,NDVI,Stage
50,Q4,2019,0.33069083,Pembibitan
1,Q1,2020,0.68234575,Tunas
2,Q1,2020,0.46557912,Tunas
3,Q1,2020,0.53498065,Tunas
4,Q1,2020,0.5903308,Tunas
5,Q1,2020,0.5733042,Tunas
6,Q1,2020,0.5410798,Tunas
7,Q1,2020,0.55860347,Tunas
8,Q1,2020,0.62508,Tunas
9,Q1,2020,0.6573051,Tunas
10,Q1,2020,0.46557912,Tunas
11,Q1,2020,0.54967266,Tunas
12,Q1,2020,0.5646018,Tunas
13,Q1,2020,0.5723397,Tunas
14,Q1,2020,0.62463343,Tunas
15,Q1,2020,0.59301543,Tunas
16,Q1,2020,0.6846561,Tunas
17,Q1,2020,0.7915339,Tunas
18,Q1,2020,0.72103006,Tunas
19,Q1,2020,0.8412148,Tunas
20,Q1,2020,0.34876773,Tunas
21,Q1,2020,0.59787107,Tunas
22,Q1,2020,0.7963844,Tunas
23,Q1,2020,0.587341,Tunas
24,Q1,2020,0.65214705,Tunas
25,Q1,2020,0.21025641,Tunas
26,Q1,2020,0.8666667,Tunas
27,Q1,2020,0.5947541,Tunas
28,Q1,2020,0.5410226,Tunas
29,Q1,2020,0.6573051,Tunas
30,Q1,2020,0.6762266,Tunas
31,Q1,2020,0.3458084,Tunas
32,Q1,2020,0.81862944,Tunas
33,Q1,2020,0.6876914,Tunas
34,Q1,2020,0.78769886,Tunas
35,Q1,2020,0.8328889,Tunas
36,Q1,2020,0.62036455,Tunas
37,Q1,2020,0.53145057,Tunas
38,Q1,2020,0.80187875,Tunas
39,Q1,2020,0.8245614,Tunas
40,Q1,2020,0.23325975,Tunas
41,Q1,2020,0.67893595,Tunas
42,Q1,2020,0.5167702,Tunas
43,Q1,2020,0.38624,Tunas
44,Q1,2020,0.68263125,Tunas
45,Q1,2020,0.1875,Tunas
46,Q1,2020,0.62228703,Tunas
47,Q1,2020,0.38697088,Tunas
48,Q1,2020,0.3010239,Tunas
49,Q1,2020,0.3741598,Tunas
50,Q1,2020,0.62283516,Tunas
1,Q2,2020,0.3038526,Tumbuh
2,Q2,2020,0.6182367,Tumbuh
3,Q2,2020,0.60484314,Tumbuh
4,Q2,2020,0.6013905,Tumbuh
5,Q2,2020,0.6728192,Tumbuh
6,Q2,2020,0.6170461,Tumbuh
7,Q2,2020,0.65177363,Tumbuh
8,Q2,2020,0.6104184,Tumbuh
9,Q2,2020,0.3403716,Tumbuh
10,Q2,2020,0.6182367,Tumbuh
11,Q2,2020,0.40701896,Tumbuh
12,Q2,2020,0.59825325,Tumbuh
13,Q2,2020,0.596963,Tumbuh
14,Q2,2020,0.6095952,Tumbuh
15,Q2,2020,0.62709755,Tumbuh
16,Q2,2020,0.7384106,Tumbuh
17,Q2,2020,0.5543632,Tumbuh
18,Q2,2020,0.6399395,Tumbuh
19,Q2,2020,0.6969697,Tumbuh
20,Q2,2020,0.603936,Tumbuh
21,Q2,2020,0.5992897,Tumbuh
22,Q2,2020,0.46729413,Tumbuh
23,Q2,2020,0.59803015,Tumbuh
24,Q2,2020,0.27755645,Tumbuh
25,Q2,2020,0.21055526,Tumbuh
26,Q2,2020,0.6875169,Tumbuh
27,Q2,2020,0.6603109,Tumbuh
28,Q2,2020,0.6,Tumbuh
29,Q2,2020,0.3403716,Tumbuh
30,Q2,2020,0.69173694,Tumbuh
31,Q2,2020,0.626817,Tumbuh
32,Q2,2020,0.6117851,Tumbuh
33,Q2,2020,0.5022947,Tumbuh
34,Q2,2020,0.68202627,Tumbuh
35,Q2,2020,0.67607725,Tumbuh
36,Q2,2020,0.7537594,Tumbuh
37,Q2,2020,0.736275,Tumbuh
38,Q2,2020,0.5832645,Tumbuh
39,Q2,2020,0.32492355,Tumbuh
40,Q2,2020,0.5606455,Tumbuh
41,Q2,2020,0.36022,Tumbuh
42,Q2,2020,0.6299257,Tumbuh
43,Q2,2020,0.17388919,Tumbuh
44,Q2,2020,0.6933023,Tumbuh
45,Q2,2020,0.58240646,Tumbuh
46,Q2,2020,0.650642,Tumbuh
47,Q2,2020,0.6359743,Tumbuh
48,Q2,2020,0.56027585,Tumbuh
49,Q2,2020,0.6165228,Tumbuh
50,Q2,2020,0.19989091,Tumbuh
1,Q3,2020,0.18089725,Panen
2,Q3,2020,0.34581771,Panen
3,Q3,2020,0.24726477,Panen
4,Q3,2020,0.20041753,Panen
5,Q3,2020,0.16690308,Panen
6,Q3,2020,0.26712328,Panen
7,Q3,2020,0.37273824,Panen
8,Q3,2020,0.23062381,Panen
9,Q3,2020,0.16216215,Panen
10,Q3,2020,0.34581771,Panen
11,Q3,2020,0.23317684,Panen
12,Q3,2020,0.3581192,Panen
13,Q3,2020,0.1613577,Panen
14,Q3,2020,0.3416149,Panen
15,Q3,2020,0.17536534,Panen
16,Q3,2020,0.199187,Panen
17,Q3,2020,0.10453649,Panen
18,Q3,2020,0.24502487,Panen
19,Q3,2020,0.42036912,Panen
20,Q3,2020,0.20983419,Panen
21,Q3,2020,0.28891203,Panen
22,Q3,2020,0.37694705,Panen
23,Q3,2020,0.2812328,Panen
24,Q3,2020,0.17020391,Panen
25,Q3,2020,0.26681614,Panen
26,Q3,2020,0.18213941,Panen
27,Q3,2020,0.2945571,Panen
28,Q3,2020,0.41538462,Panen
29,Q3,2020,0.16216215,Panen
30,Q3,2020,0.19221862,Panen
31,Q3,2020,0.27412587,Panen
32,Q3,2020,0.20736994,Panen
33,Q3,2020,0.20474471,Panen
34,Q3,2020,0.38143337,Panen
35,Q3,2020,0.2862978,Panen
36,Q3,2020,0.21435693,Panen
37,Q3,2020,0.12465565,Panen
38,Q3,2020,0.1095767,Panen
39,Q3,2020,0.4275896,Panen
40,Q3,2020,0.24708171,Panen
41,Q3,2020,0.19001529,Panen
42,Q3,2020,0.28733152,Panen
43,Q3,2020,0.3136574,Panen
44,Q3,2020,0.30919838,Panen
45,Q3,2020,0.30529955,Panen
46,Q3,2020,0.16203462,Panen
47,Q3,2020,0.34799823,Panen
