,province,month,year,yield,stage,area,cgdd,avg_min_temp,avg_max_temp,avg_temp,min_ind_temp,max_ind_temp,lat,lon,radius,avg_ndvi
39,Jawa Timur,4,2020,0,Tillering,188859,8.66333333,23.06071429,32.925,26.66333333,23.3,34.0,-7.303611702,112.2186007,24.51850052,6024
40,Jawa Timur,5,2020,0,Grand Growth,188859,8.29677419,23.08064516,31.6483871,26.29677419,23.5,34.4,-7.303611702,112.2186007,24.51850052,7608
41,Jawa Timur,6,2020,162350,Tillering,188859,7.09,21.61785714,30.60666667,25.09,22.2,33.2,-7.303611702,112.2186007,24.51850052,5777
42,Jawa Timur,7,2020,257133,Germination,188859,6.28387097,20.76774194,30.07096774,24.28387097,21.4,33.2,-7.303611702,112.2186007,24.51850052,4945
43,Jawa Timur,8,2020,268460,Tillering,188859,6.99354839,20.99666667,30.97096774,24.99354839,20.6,33.6,-7.303611702,112.2186007,24.51850052,5642
44,Jawa Timur,9,2020,207199,Tillering,188859,9.83,22.09333333,31.77586207,27.83,20.4,34.5,-7.303611702,112.2186007,24.51850052,5124
45,Jawa Timur,10,2020,88966,Germination,188859,10.64782609,24.84615385,31.9,28.64782609,22.0,34.4,-7.303611702,112.2186007,24.51850052,4915
46,Jawa Timur,11,2020,19054,Tillering,188859,8.49333333,23.17142857,31.73,26.49333333,22.4,35.0,-7.303611702,112.2186007,24.51850052,5618
47,Jawa Timur,12,2020,0,Tillering,188859,7.56129032,22.75555556,30.16451613,25.56129032,22.9,34.4,-7.303611702,112.2186007,24.51850052,6193
48,Lampung,1,2021,0,Germination,136224,8.1483871,23.23333333,30.93870968,26.1483871,22.2,33.4,-4.707593924,105.2062874,20.82341133,4325
49,Lampung,2,2021,0,Grand Growth,136224,8.51724138,23.29642857,31.52413793,26.51724138,22.3,32.8,-4.707593924,105.2062874,20.82341133,7630
50,Lampung,3,2021,0,Tillering,136224,9.015625,23.40344828,32.5,27.015625,22.4,34.0,-4.707593924,105.2062874,20.82341133,6973
51,Lampung,4,2021,67454,Grand Growth,136224,9.31333333,23.51428571,32.96,27.31333333,21.8,34.4,-4.707593924,105.2062874,20.82341133,7794
52,Lampung,5,2021,101018,Tillering,136224,9.47407407,23.972,33.03478261,27.47407407,22.8,34.0,-4.707593924,105.2062874,20.82341133,6719
53,Lampung,6,2021,136221,Tillering,136224,8.9,23.45833333,32.42962963,26.9,22.0,34.0,-4.707593924,105.2062874,20.82341133,6408
54,Lampung,7,2021,147631,Tillering,136224,8.54848485,22.29285714,32.09090909,26.54848485,19.6,34.0,-4.707593924,105.2062874,20.82341133,6137
55,Lampung,8,2021,128264,Germination,136224,8.696875,22.65666667,32.4125,26.696875,20.0,34.4,-4.707593924,105.2062874,20.82341133,4143
56,Lampung,9,2021,102374,Germination,136224,8.74375,23.08888889,32.209375,26.74375,21.1,34.2,-4.707593924,105.2062874,20.82341133,4768
57,Lampung,10,2021,69923,Tillering,136224,9.74482759,23.5962963,33.27,27.74482759,22.0,34.8,-4.707593924,105.2062874,20.82341133,6212
58,Lampung,11,2021,27509,Tillering,136224,9.26666667,23.98275862,32.51333333,27.26666667,23.0,34.6,-4.707593924,105.2062874,20.82341133,6175
59,Lampung,12,2021,691,Tillering,136224,9.23870968,23.86666667,32.54516129,27.23870968,22.4,34.6,-4.707593924,105.2062874,20.82341133,6529
60,Jawa Timur,1,2021,0,Grand Growth,182261,7.43548387,22.75,30.14193548,25.43548387,22.2,33.4,-7.303611702,112.2186007,24.08640242,7764
61,Jawa Timur,2,2021,0,Grand Growth,182261,7.94642857,22.69285714,30.94285714,25.94642857,22.3,32.8,-7.303611702,112.2186007,24.08640242,8149
62,Jawa Timur,3,2021,0,Tillering,182261,7.81290323,22.44333333,32.28709677,25.81290323,22.4,34.0,-7.303611702,112.2186007,24.08640242,5839
63,Jawa Timur,4,2021,1555,Tillering,182261,7.92333333,22.12142857,32.5862069,25.92333333,21.8,34.4,-7.303611702,112.2186007,24.08640242,6860
64,Jawa Timur,5,2021,26667,Grand Growth,182261,8.23548387,22.38387097,32.78709677,26.23548387,22.8,34.0,-7.303611702,112.2186007,24.08640242,7400
65,Jawa Timur,6,2021,196816,Tillering,182261,7.97666667,21.85517241,32.96333333,25.97666667,22.0,34.0,-7.303611702,112.2186007,24.08640242,5220
66,Jawa Timur,7,2021,234839,Tillering,182261,6.653125,21.06,31.590625,24.653125,19.6,34.0,-7.303611702,112.2186007,24.08640242,6224
67,Jawa Timur,8,2021,242730,Tillering,182261,7.18125,21.8,31.421875,25.18125,20.0,34.4,-7.303611702,112.2186007,24.08640242,6200
68,Jawa Timur,9,2021,218952,Tillering,182261,7.72258065,22.05517241,31.50322581,25.72258065,21.1,34.2,-7.303611702,112.2186007,24.08640242,6128
69,Jawa Timur,10,2021,98225,Tillering,182261,8.3,22.4,32.03225806,26.3,22.0,34.8,-7.303611702,112.2186007,24.08640242,5733
70,Jawa Timur,11,2021,14891,Germination,182261,7.66333333,22.85172414,31.15666667,25.66333333,23.0,34.6,-7.303611702,112.2186007,24.08640242,4907
71,Jawa Timur,12,2021,0,Grand Growth,182261,9.78709677,23.12903226,31.37419355,27.78709677,22.4,34.6,-7.303611702,112.2186007,24.08640242,7610
